Date,Overall AQI Value,Main Pollutant,Site Name (of Overall AQI),Site ID (of Overall AQI),Source (of Overall AQI),CO,Ozone,PM10,PM25,NO2
01/01/2018,86,PM2.5,Chico-East Avenue,06-007-0008,AQS,9,30,32,86,20
02/01/2018,73,PM2.5,"TRAFFIC, RURAL PAVED ROAD",06-007-4001,AQS,9,35,25,73,22
03/01/2018,41,Ozone,Paradise - Airport,06-007-0007,AQS,2,41,7,34,4
04/01/2018,52,PM2.5,"TRAFFIC, RURAL PAVED ROAD",06-007-4001,AQS,2,46,8,52,8
05/01/2018,51,PM2.5,Chico-East Avenue,06-007-0008,AQS,2,44,10,51,8
06/01/2018,49,PM2.5,"TRAFFIC, RURAL PAVED ROAD",06-007-4001,AQS,2,43,16,49,15
07/01/2018,55,PM2.5,"TRAFFIC, RURAL PAVED ROAD",06-007-4001,AQS,2,54,15,55,6
08/01/2018,182,Ozone,Paradise - Airport,06-007-0007,AQS,6,182,58,144,11
09/01/2018,84,Ozone,Paradise - Airport,06-007-0007,AQS,3,84,45,67,8
10/01/2018,57,PM2.5,Chico-East Avenue,06-007-0008,AQS,3,43,35,57,16
11/01/2018,64,PM2.5,"TRAFFIC, RURAL PAVED ROAD",06-007-4001,AQS,3,36,25,64,22
12/01/2018,43,PM2.5,Chico-East Avenue,06-007-0008,AQS,7,29,13,43,22
01/02/2018,87,PM2.5,Chico-East Avenue,06-007-0008,AQS,14,28,33,87,18
02/02/2018,70,PM2.5,"TRAFFIC, RURAL PAVED ROAD",06-007-4001,AQS,6,42,17,70,18
03/02/2018,43,Ozone,Paradise - Airport,06-007-0007,AQS,2,43,6,19,7
04/02/2018,48,Ozone,Paradise - Airport,06-007-0007,AQS,2,48,16,44,8
05/02/2018,59,PM2.5,Chico-East Avenue,06-007-0008,AQS,2,46,15,59,10
06/02/2018,71,Ozone,Paradise - Airport,06-007-0007,AQS,2,71,14,53,9
07/02/2018,77,Ozone,Paradise - Airport,06-007-0007,AQS,2,77,27,65,6
08/02/2018,136,Ozone,Paradise - Airport,06-007-0007,AQS,6,136,48,97,13
09/02/2018,93,Ozone,Paradise - Airport,06-007-0007,AQS,3,93,37,72,11
10/02/2018,55,PM2.5,Chico-East Avenue,06-007-0008,AQS,2,37,11,55,20
11/02/2018,75,PM2.5,"TRAFFIC, RURAL PAVED ROAD",06-007-4001,AQS,5,45,33,75,25
12/02/2018,57,PM2.5,Chico-East Avenue,06-007-0008,AQS,8,23,15,57,23
01/03/2018,103,PM2.5,"TRAFFIC, RURAL PAVED ROAD",06-007-4001,AQS,9,31,38,103,14
02/03/2018,52,PM2.5,"TRAFFIC, RURAL PAVED ROAD",06-007-4001,AQS,2,41,11,52,13
03/03/2018,42,Ozone,Paradise - Airport,06-007-0007,AQS,2,42,7,27,8
04/03/2018,47,PM2.5,"TRAFFIC, RURAL PAVED ROAD",06-007-4001,AQS,3,42,17,47,22
05/03/2018,64,PM2.5,Chico-East Avenue,06-007-0008,AQS,2,50,33,64,7
06/03/2018,80,Ozone,Paradise - Airport,06-007-0007,AQS,2,80,14,56,8
07/03/2018,100,Ozone,Paradise - Airport,06-007-0007,AQS,3,100,24,72,9
08/03/2018,109,PM2.5,Chico-East Avenue,06-007-0008,AQS,6,101,54,109,15
09/03/2018,80,Ozone,Paradise - Airport,06-007-0007,AQS,3,80,47,79,10
10/03/2018,51,PM2.5,Chico-East Avenue,06-007-0008,AQS,3,42,14,51,16
11/03/2018,83,PM2.5,"TRAFFIC, RURAL PAVED ROAD",06-007-4001,AQS,5,48,17,83,13
12/03/2018,66,PM2.5,"TRAFFIC, RURAL PAVED ROAD",06-007-4001,AQS,6,19,20,66,23
01/04/2018,80,PM2.5,Chico-East Avenue,06-007-0008,AQS,5,34,24,80,16
02/04/2018,83,PM2.5,"TRAFFIC, RURAL PAVED ROAD",06-007-4001,AQS,6,39,20,83,23
03/04/2018,46,PM2.5,Paradise - Theater,06-007-2002,AQS,3,39,8,46,15
04/04/2018,55,PM2.5,"TRAFFIC, RURAL PAVED ROAD",06-007-4001,AQS,3,46,28,55,14
05/04/2018,55,PM2.5,Chico-East Avenue,06-007-0008,AQS,2,50,21,55,8
06/04/2018,74,Ozone,Paradise - Airport,06-007-0007,AQS,2,74,17,55,8
07/04/2018,73,PM2.5,Chico-East Avenue,06-007-0008,AQS,3,50,27,73,4
08/04/2018,161,PM2.5,Chico-East Avenue,06-007-0008,AQS,9,87,69,161,15
09/04/2018,100,Ozone,Paradise - Airport,06-007-0007,AQS,3,100,52,81,9
10/04/2018,36,PM2.5,Chico-East Avenue,06-007-0008,AQS,2,28,6,36,.
11/04/2018,57,PM2.5,"TRAFFIC, RURAL PAVED ROAD",06-007-4001,AQS,3,54,26,57,13
12/04/2018,62,PM2.5,Chico-East Avenue,06-007-0008,AQS,7,20,23,62,25
01/05/2018,64,PM2.5,Chico-East Avenue,06-007-0008,AQS,5,32,15,64,6
02/05/2018,67,PM2.5,"TRAFFIC, RURAL PAVED ROAD",06-007-4001,AQS,6,42,18,67,19
03/05/2018,52,PM2.5,Paradise - Theater,06-007-2002,AQS,5,44,.,52,19
04/05/2018,52,PM2.5,Chico-East Avenue,06-007-0008,AQS,2,32,16,52,10
05/05/2018,58,Ozone,Paradise - Airport,06-007-0007,AQS,2,58,27,53,8
06/05/2018,74,Ozone,Paradise - Airport,06-007-0007,AQS,2,74,17,57,8
07/05/2018,93,Ozone,Paradise - Airport,06-007-0007,AQS,2,93,14,64,5
08/05/2018,124,PM2.5,Chico-East Avenue,06-007-0008,AQS,9,48,52,124,10
09/05/2018,69,PM2.5,Chico-East Avenue,06-007-0008,AQS,3,67,44,69,20
10/05/2018,50,PM2.5,Chico-East Avenue,06-007-0008,AQS,2,36,9,50,13
11/05/2018,47,Ozone,Paradise - Airport,06-007-0007,AQS,2,47,27,44,3
12/05/2018,53,PM2.5,"TRAFFIC, RURAL PAVED ROAD",06-007-4001,AQS,7,19,14,53,18
01/06/2018,64,PM2.5,Chico-East Avenue,06-007-0008,AQS,7,33,16,64,20
02/06/2018,45,Ozone,Paradise - Airport,06-007-0007,AQS,2,45,19,37,14
03/06/2018,60,PM2.5,Chico-East Avenue,06-007-0008,AQS,7,45,.,60,20
04/06/2018,41,Ozone,Paradise - Airport,06-007-0007,AQS,2,41,0,24,5
05/06/2018,64,Ozone,Paradise - Airport,06-007-0007,AQS,2,64,28,46,7
06/06/2018,87,Ozone,Paradise - Airport,06-007-0007,AQS,2,87,19,59,8
07/06/2018,58,PM2.5,"TRAFFIC, RURAL PAVED ROAD",06-007-4001,AQS,2,50,18,58,8
08/06/2018,147,PM2.5,"TRAFFIC, RURAL PAVED ROAD",06-007-4001,AQS,7,80,57,147,19
09/06/2018,72,PM2.5,Chico-East Avenue,06-007-0008,AQS,3,64,44,72,11
10/06/2018,35,Ozone,Paradise - Airport,06-007-0007,AQS,1,35,7,27,7
11/06/2018,48,Ozone,Paradise - Airport,06-007-0007,AQS,3,48,25,39,23
12/06/2018,54,PM2.5,Chico-East Avenue,06-007-0008,AQS,7,23,17,54,27
01/07/2018,74,PM2.5,Chico-East Avenue,06-007-0008,AQS,8,27,21,74,14
02/07/2018,53,PM2.5,"TRAFFIC, RURAL PAVED ROAD",06-007-4001,AQS,6,43,26,53,26
03/07/2018,59,PM2.5,"TRAFFIC, RURAL PAVED ROAD",06-007-4001,AQS,3,50,.,59,19
04/07/2018,36,Ozone,Chico-East Avenue,06-007-0008,AQS,2,36,6,33,3
05/07/2018,71,Ozone,Paradise - Airport,06-007-0007,AQS,2,71,22,46,15
06/07/2018,55,PM2.5,"TRAFFIC, RURAL PAVED ROAD",06-007-4001,AQS,2,54,14,55,6
07/07/2018,48,PM2.5,"TRAFFIC, RURAL PAVED ROAD",06-007-4001,AQS,2,48,6,48,10
08/07/2018,152,PM2.5,Chico-East Avenue,06-007-0008,AQS,7,126,63,152,25
09/07/2018,59,PM2.5,Chico-East Avenue,06-007-0008,AQS,3,48,34,59,21
10/07/2018,69,PM2.5,"TRAFFIC, RURAL PAVED ROAD",06-007-4001,AQS,2,40,9,69,8
11/07/2018,46,Ozone,Paradise - Airport,06-007-0007,AQS,3,46,23,39,18
12/07/2018,63,PM2.5,Chico-East Avenue,06-007-0008,AQS,8,18,22,63,24
01/08/2018,59,PM2.5,Chico-East Avenue,06-007-0008,AQS,7,34,12,59,16
02/08/2018,67,PM2.5,"TRAFFIC, RURAL PAVED ROAD",06-007-4001,AQS,7,40,22,67,25
03/08/2018,39,Ozone,Paradise - Airport,06-007-0007,AQS,2,39,.,33,9
04/08/2018,41,Ozone,Paradise - Airport,06-007-0007,AQS,2,41,9,39,6
05/08/2018,77,Ozone,Paradise - Airport,06-007-0007,AQS,2,77,39,54,9
06/08/2018,74,Ozone,Paradise - Airport,06-007-0007,AQS,2,74,17,58,8
07/08/2018,80,Ozone,Paradise - Airport,06-007-0007,AQS,2,80,8,55,7
08/08/2018,146,PM2.5,Paradise - Theater,06-007-2002,AQS,7,119,63,146,18
09/08/2018,60,PM2.5,"TRAFFIC, RURAL PAVED ROAD",06-007-4001,AQS,2,51,30,60,11
10/08/2018,39,PM2.5,"TRAFFIC, RURAL PAVED ROAD",06-007-4001,AQS,2,36,11,39,16
11/08/2018,86,PM2.5,"TRAFFIC, RURAL PAVED ROAD",06-007-4001,AQS,5,34,38,86,27
12/08/2018,71,PM2.5,Chico-East Avenue,06-007-0008,AQS,8,21,27,71,25
01/09/2018,39,Ozone,Paradise - Airport,06-007-0007,AQS,3,39,4,36,8
02/09/2018,70,PM2.5,"TRAFFIC, RURAL PAVED ROAD",06-007-4001,AQS,7,31,29,70,21
03/09/2018,52,PM2.5,"TRAFFIC, RURAL PAVED ROAD",06-007-4001,AQS,3,38,.,52,16
04/09/2018,41,PM2.5,"TRAFFIC, RURAL PAVED ROAD",06-007-4001,AQS,2,39,9,41,6
05/09/2018,48,Ozone,Paradise - Airport,06-007-0007,AQS,2,48,25,38,8
06/09/2018,39,PM2.5,"TRAFFIC, RURAL PAVED ROAD",06-007-4001,AQS,2,39,11,39,2
07/09/2018,74,Ozone,Paradise - Airport,06-007-0007,AQS,2,74,17,57,8
08/09/2018,156,Ozone,Paradise - Airport,06-007-0007,AQS,7,156,64,153,26
09/09/2018,63,PM2.5,Chico-East Avenue,06-007-0008,AQS,2,48,30,63,12
10/09/2018,51,PM2.5,Chico-East Avenue,06-007-0008,AQS,3,50,24,51,14
11/09/2018,409,PM2.5,Chico-East Avenue,06-007-0008,AQS,156,24,188,409,25
12/09/2018,81,PM2.5,Chico-East Avenue,06-007-0008,AQS,9,11,28,81,16
01/10/2018,51,PM2.5,Chico-East Avenue,06-007-0008,AQS,5,32,11,51,12
02/10/2018,58,PM2.5,"TRAFFIC, RURAL PAVED ROAD",06-007-4001,AQS,5,46,30,58,17
03/10/2018,59,PM2.5,"TRAFFIC, RURAL PAVED ROAD",06-007-4001,AQS,3,35,10,59,14
04/10/2018,51,PM2.5,"TRAFFIC, RURAL PAVED ROAD",06-007-4001,AQS,2,44,12,51,8
05/10/2018,67,Ozone,Paradise - Airport,06-007-0007,AQS,2,67,18,46,9
